iter	Passed	Remaining
0	1	161
1	3	156
2	4	143
3	5	132
4	6	132
5	8	131
6	9	131
7	10	126
8	12	121
9	13	124
10	15	122
11	16	119
12	17	114
13	18	112
14	19	109
15	20	106
16	21	106
17	22	104
18	23	102
19	24	99
20	25	97
21	26	95
22	28	95
23	29	94
24	30	92
25	31	90
26	33	89
27	34	87
28	35	87
29	36	85
30	37	84
31	38	82
32	39	80
33	40	79
34	41	77
35	43	77
36	45	76
37	46	75
38	47	73
39	48	72
40	49	71
41	49	68
42	50	67
43	51	66
44	52	64
45	53	63
46	55	62
47	56	60
48	57	59
49	58	58
50	60	57
51	61	56
52	62	54
53	63	53
54	63	52
55	64	51
56	65	49
57	66	48
58	67	47
59	68	45
60	69	44
61	70	43
62	71	42
63	73	41
64	74	40
65	75	39
66	76	37
67	77	36
68	78	35
69	80	34
70	81	33
71	82	31
72	83	30
73	84	29
74	85	28
75	86	27
76	87	26
77	89	25
78	90	24
79	91	22
80	93	21
81	94	20
82	95	19
83	96	18
84	97	17
85	98	16
86	99	14
87	100	13
88	101	12
89	103	11
90	105	10
91	106	9
92	108	8
93	109	6
94	109	5
95	110	4
96	112	3
97	113	2
98	114	1
99	115	0
